Exercício: 2018
Escopo: Estados/DF
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";17199441858,54
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"01 - Legislativa";739689951,28
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"01.031 - Ação Legislativa";42211494,05
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"01.032 - Controle Externo";39399777,41
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"01.122 - Administração Geral";559248199,65
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU01 - Demais Subfunções";98830480,17
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"02 - Judiciária";1253617655,94
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"02.061 - Ação Judiciária";95320002,41
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"02.062 - Defesa do Interesse Público no Processo Judiciário";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"02.122 - Administração Geral";1070477136,98
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU02 - Demais Subfunções";87820516,55
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"03 - Essencial à Justiça";469424134,08
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"03.091 - Defesa da Ordem Jurídica";1452144,95
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"03.092 - Representação Judicial e Extrajudicial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"03.122 - Administração Geral";451703296,24
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU03 - Demais Subfunções";16268692,89
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04 - Administração";915702105,92
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.121 - Planejamento e Orçamento";41593,36
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.122 - Administração Geral";821766487,29
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.123 - Administração Financeira";17020580,19
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.124 - Controle Interno";3808315,07
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.125 - Normatização e Fiscalização";269691,44
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.126 - Tecnologia da Informação";29451036,1
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.127 - Ordenamento Territorial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.128 - Formação de Recursos Humanos";757589,16
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.129 - Administração de Receitas";19183950,59
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.130 - Administração de Concessões";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"04.131 - Comunicação Social";19979755,08
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU04 - Demais Subfunções";3423107,64
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"05 - Defesa Nacional";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"05.151 - Defesa Área";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"05.152 - Defesa Naval";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"05.153 - Defesa Terrestre";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"05.122 - Administração Geral";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU05 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"06 - Segurança Pública";2058639851,2
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"06.181 - Policiamento";52526931,07
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"06.182 - Defesa Civil";6856701,09
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"06.183 - Informação e Inteligência";9648027,74
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"06.122 - Administração Geral";1948025907,27
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU06 - Demais Subfunções";41582284,03
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"07 - Relações Exteriores";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"07.211 - Relações Diplomáticas";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"07.212 - Cooperação Internacional";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"07.122 - Administração Geral";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU07 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"08 - Assistência Social";19253801,21
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"08.241 - Assistência ao Idoso";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"08.242 - Assistência ao Portador de Deficiência";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";6547848,57
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"08.244 - Assistência Comunitária";12705952,64
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"08.122 - Administração Geral";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU08 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"09 - Previdência Social";3781807532,04
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"09.271 - Previdência Básica";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"09.272 - Previdência do Regime Estatutário";3753098421,95
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"09.273 - Previdência Complementar";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"09.274 - Previdência Especial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"09.122 - Administração Geral";16870761,9
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU09 - Demais Subfunções";11838348,19
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10 - Saúde";1823144611,55
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10.301 - Atenção Básica";68486740,54
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";722415730,24
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10.303 - Suporte Profilático e Terapêutico";99613965,44
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10.304 - Vigilância Sanitária";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";11102140,61
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10.306 - Alimentação e Nutrição";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"10.122 - Administração Geral";665179818,33
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU10 - Demais Subfunções";256346216,39
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"11 - Trabalho";42488693,46
